"FMT,CPN,MAT,ISIN,16,17,18,19,20,23,24,25,26,27,30"
"CAN 1.75 MAR 23,1.75,202331,CA135087H490,99.71,99.7,99.72,99.72,99.74,99.75,99.76,99.77,99.78,99.79,99.78"
"CAN 1.5 JUN 23,1.5,202361,CA135087A610,98.92,98.92,98.94,98.95,98.95,98.96,98.98,99,99,99,99"
"CAN 2.25 MAR 24,2.25,202431,CA135087J546,97.93,97.86,97.977,97.93,97.86,97.86,97.84,97.958,97.93,97.84,97.8"
"CAN 2.5 JUN 24,2.5,202461,CA135087B451,98.08,98.07,98.17,98.11,98.05,98.02,98.01,98.07,98.07,97.96,97.89"
"CAN 1.5 SEP 24,1.5,202491,CA135087J967,96.48,96.45,96.58,96.5,96.4,96.4,96.39,96.47,96.48,96.29,96.24"
"CAN 1.25 MAR 25,1.25,202531,CA135087K528,95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3,95.19"
"CAN 2.25 JUN 25,2.25,202561,CA135087D507,97.45,97.45,97.7,97.68,97.51,97.43,97.39,97.54,97.56,97.35,97.23"
"CAN 1.5 JUN 26,1.5,202661,CA135087E679,98.84,98.94,95.27,95.34,95.02,94.95,94.96,95.1,95.09,94.8,94.7"
